Date,Price,Open,High,Low,Volume,Change
"Dec 20, 2012",1555.5,1588.6,1595.55,1542.15,-,-2.07
"Dec 19, 2012",1588.45,1598.35,1602.8,1579.55,-,-0.62
"Dec 18, 2012",1598.4,1608.35,1617.25,1590.15,-,-0.61
"Dec 17, 2012",1608.25,1614.85,1616.9,1604.05,-,-0.42
"Dec 16, 2012",1615.05,1618.45,1620.9,1613.9,-,-0.19
"Dec 14, 2012",1618.2,1614.4,1621.25,1606.85,-,0.24
"Dec 13, 2012",1614.35,1628.4,1630.4,1603.55,-,-0.86
"Dec 12, 2012",1628.3,1633.0,1647.25,1627.25,-,-0.28
"Dec 11, 2012",1632.9,1623.15,1642.1,1616.65,-,0.62
"Dec 10, 2012",1622.85,1608.9,1629.0,1607.85,-,0.87
"Dec 09, 2012",1608.8,1609.95,1609.95,1607.75,-,0.06
"Dec 07, 2012",1607.85,1596.65,1610.65,1590.95,-,0.7
"Dec 06, 2012",1596.7,1581.8,1601.65,1573.9,-,0.94
"Dec 05, 2012",1581.85,1583.0,1596.95,1571.2,-,-0.1
"Dec 04, 2012",1583.5,1608.05,1608.05,1581.55,-,-1.53
"Dec 03, 2012",1608.1,1605.3,1615.1,1593.6,-,0.27
"Dec 02, 2012",1603.8,1603.8,1603.8,1603.8,-,0.0
"Nov 30, 2012",1603.8,1614.2,1621.6,1597.45,-,-0.64
"Nov 29, 2012",1614.15,1612.6,1625.7,1605.05,-,0.11
"Nov 28, 2012",1612.3,1611.55,1615.15,1583.5,-,-0.01
"Nov 27, 2012",1612.4,1615.65,1622.85,1611.35,-,-0.2
"Nov 26, 2012",1615.6,1616.6,1618.35,1605.7,-,-0.09
"Nov 25, 2012",1617.0,1621.65,1623.45,1616.45,-,-0.35
"Nov 23, 2012",1622.6,1583.05,1625.4,1575.4,-,2.5
"Nov 22, 2012",1583.1,1580.6,1587.6,1579.65,-,0.17
"Nov 21, 2012",1580.35,1580.8,1584.6,1567.1,-,-0.03
"Nov 20, 2012",1580.85,1577.5,1585.7,1569.8,-,0.2
"Nov 19, 2012",1577.7,1564.95,1584.45,1560.85,-,0.79
"Nov 18, 2012",1565.3,1560.8,1566.45,1560.8,-,0.32
"Nov 16, 2012",1560.25,1572.3,1572.5,1546.35,-,-0.77
"Nov 15, 2012",1572.35,1586.55,1586.85,1563.2,-,-0.89
"Nov 14, 2012",1586.45,1586.15,1602.2,1579.5,-,0.04
"Nov 13, 2012",1585.85,1563.75,1594.7,1557.55,-,1.41
"Nov 12, 2012",1563.8,1562.0,1571.85,1561.15,-,0.11
"Nov 11, 2012",1562.1,1557.6,1562.4,1556.05,-,0.46
"Nov 09, 2012",1554.95,1547.1,1572.55,1547.1,-,0.48
"Nov 08, 2012",1547.5,1546.5,1549.3,1534.85,-,0.06
"Nov 07, 2012",1546.6,1555.95,1569.8,1535.15,-,-0.63
"Nov 06, 2012",1556.45,1549.5,1564.1,1539.65,-,0.47
"Nov 05, 2012",1549.2,1551.2,1552.7,1538.5,-,-0.15
"Nov 04, 2012",1551.6,1546.5,1552.8,1543.4,-,0.39
"Nov 02, 2012",1545.5,1570.25,1571.8,1544.0,-,-1.57
"Nov 01, 2012",1570.15,1571.25,1583.75,1567.4,-,-0.01
"Oct 31, 2012",1570.3,1557.65,1579.75,1553.55,-,0.82
"Oct 30, 2012",1557.6,1540.95,1557.65,1534.3,-,1.1
"Oct 29, 2012",1540.65,1553.25,1559.8,1531.15,-,-0.81
"Oct 28, 2012",1553.2,1547.55,1553.25,1545.45,-,0.39
"Oct 26, 2012",1547.15,1572.1,1579.55,1540.95,-,-1.57
