horse_name,horse_home,horse_sex,horse_dob,horse_age,horse_class,horse_group,horse_trainer,horse_owner,horse_dad,horse_mom,race_count,first,second,one_yr_count,one_yr_first,one_yr_second,horse_earned_money,horse_rating,horse_price
대성루비,한,암,2014/02/20,6,국4,03,최영주,김창국,와이와이와이,무한나래,31,2,1,10,0,0,91720000,36, 0
대승퀸,한,암,2017/04/16,3,국5,18,박대흥,김명식,한센,대박연출,4,0,1,4,0,1,31200000,27, 0
대싱카누,한,암,2016/02/28,4,국5,23,유재길,박정열,리미트리스비드,대싱플래티넘,12,1,1,9,1,1,26720000,3, 0
대완마,한,암,2016/03/19,4,국2,33,서인석,민형근,컬러즈플라잉,베터데이즈,11,4,2,5,1,1,613050000,66, 0
대용왕,한,수,2016/03/21,4,국5,21,임봉춘,박정재,애니기븐새터데이,쿠든헬프마이셀프,13,1,1,9,1,1,38280000,29, 0
대운하,한,수,2015/02/18,5,국5,40,송문길,박정재,한센,스토미로직,18,0,1,9,0,0,35760000,24, 0
대지여걸,한,암,2016/04/23,4,국5,03,최영주,말사모,어드마이어돈,범블비,9,1,2,9,1,2,45480000,31,5000
대지의여인,한,암,2017/03/12,3,국6,09,강성오,김세민,사이먼퓨어,캐치더스피릿,0,0,0,0,0,0,0,,0
대천보우,한,암,2016/04/09,4,국4,02,손영표,김경민,프라이빗보우,대천풍,9,1,2,7,1,0,56800000,36, 0
대천히어로,한,거,2015/02/18,5,국3,15,박희철,고양진,선더모카신,고스틀리갤,26,3,2,15,2,1,113240000,52, 0
대카인,한,수,2015/02/14,5,국5,04,박윤규,정기찬,인그란디어,카템바,22,0,4,7,0,0,50640000,28, 0
대한챔프,한,수,2016/03/03,4,국5,43,서정하,대한사료,엑톤파크,유어텀,9,1,1,7,1,1,22080000,29, 0
대형호재,한,거,2017/02/17,3,국6,18,박대흥,나종용,피스룰즈,스트리트어브피스,4,0,0,4,0,0,3360000,,0
댄싱블레이드,한,암,2015/02/27,5,국3,99,휴양마,김형란,리미트리스비드,대싱플래티넘,14,4,1,5,1,0,156300000,61, 0
더검푸,미,수,2017/03/31,3,외3,30,토니,한명로,STRONG MANDATE,JESTER,7,2,1,7,2,1,84750000,58, 0
더더비,미,거,2016/05/07,4,외4,02,손영표,김재용,MUSKETIER,프라임드,12,0,0,8,0,0,15400000,37, 0
