Date,Price,Open,High,Low,Change
"Nov 03, 2014",1352.04,1342.05,1352.97,1337.26,0.55
"Oct 31, 2014",1344.63,1328.88,1348.25,1326.67,1.08
"Oct 30, 2014",1330.24,1330.06,1334.21,1324.98,-0.11
"Oct 29, 2014",1331.7,1333.17,1337.66,1324.39,-0.22
"Oct 28, 2014",1334.61,1333.54,1339.48,1330.09,-0.02
"Oct 27, 2014",1334.87,1339.75,1342.96,1331.81,-0.38
"Oct 24, 2014",1339.91,1338.57,1345.13,1335.5,-0.01
"Oct 23, 2014",1340.0,1331.48,1342.83,1329.62,0.54
"Oct 22, 2014",1332.85,1340.41,1343.71,1329.98,-0.67
"Oct 21, 2014",1341.87,1350.69,1354.81,1338.9,-0.74
"Oct 20, 2014",1351.87,1354.39,1357.8,1348.63,-0.39
"Oct 17, 2014",1357.12,1357.63,1366.67,1353.94,-0.15
"Oct 16, 2014",1359.18,1360.56,1364.76,1354.26,-0.21
"Oct 15, 2014",1362.06,1347.55,1364.04,1342.03,0.97
"Oct 14, 2014",1348.92,1359.21,1362.3,1344.58,-0.88
"Oct 13, 2014",1360.87,1355.97,1361.15,1350.11,0.33
"Oct 10, 2014",1356.37,1348.44,1366.17,1347.16,0.49
"Oct 09, 2014",1349.76,1367.93,1375.9,1345.57,-1.43
"Oct 08, 2014",1369.41,1354.72,1371.04,1349.77,1.05
"Oct 07, 2014",1355.2,1352.4,1356.59,1341.74,0.19
"Oct 06, 2014",1352.64,1327.12,1354.99,1326.59,1.82
"Oct 03, 2014",1328.49,1344.1,1345.36,1326.27,-1.2
"Oct 02, 2014",1344.57,1341.23,1347.75,1337.63,0.2
"Oct 01, 2014",1341.87,1331.9,1343.88,1331.16,0.69
"Sep 30, 2014",1332.61,1335.71,1341.63,1325.57,-0.27
"Sep 29, 2014",1336.24,1324.34,1339.5,1322.35,0.87
"Sep 26, 2014",1324.7,1330.21,1332.22,1323.4,-0.45
"Sep 25, 2014",1330.7,1328.72,1334.06,1323.79,0.12
"Sep 24, 2014",1329.14,1335.75,1339.07,1328.1,-0.53
"Sep 23, 2014",1336.28,1336.3,1344.22,1333.49,-0.1
"Sep 22, 2014",1337.68,1338.46,1341.72,1333.59,-0.14
"Sep 19, 2014",1339.61,1348.15,1354.13,1338.46,-0.7
"Sep 18, 2014",1349.1,1331.04,1349.93,1327.83,1.33
"Sep 17, 2014",1331.45,1342.38,1343.52,1329.59,-0.85
"Sep 16, 2014",1342.91,1342.99,1346.53,1336.31,-0.08
"Sep 15, 2014",1343.97,1342.78,1349.03,1340.26,0.13
