Date,Price,Open,High,Low,Change
"Jan 11, 2013",1703.54,1710.01,1712.87,1697.26,-0.35
"Jan 10, 2013",1709.54,1699.02,1711.76,1695.83,0.57
"Jan 09, 2013",1699.9,1707.96,1709.34,1695.02,-0.51
"Jan 08, 2013",1708.6,1712.75,1714.9,1702.33,-0.26
"Jan 07, 2013",1713.07,1707.07,1713.38,1700.88,0.35
"Jan 04, 2013",1707.05,1712.31,1713.56,1702.17,-0.28
"Jan 03, 2013",1711.86,1727.76,1730.37,1710.18,-0.97
"Jan 02, 2013",1728.61,1727.45,1744.08,1724.99,0.05
"Jan 01, 2013",1727.78,1726.17,1736.08,1725.74,0.05
"Dec 31, 2012",1726.93,1726.1,1730.97,1716.6,0.04
"Dec 28, 2012",1726.32,1725.72,1729.05,1715.78,-0.04
"Dec 27, 2012",1727.01,1731.18,1736.72,1721.53,-0.28
"Dec 26, 2012",1731.93,1730.0,1735.8,1728.09,0.04
"Dec 25, 2012",1731.28,1729.89,1733.22,1705.96,-0.01
"Dec 24, 2012",1731.45,1737.31,1740.31,1727.81,-0.48
"Dec 21, 2012",1739.84,1748.85,1750.19,1736.77,-0.53
"Dec 20, 2012",1749.07,1741.57,1751.32,1740.61,0.36
"Dec 19, 2012",1742.82,1743.22,1750.26,1740.47,-0.02
"Dec 18, 2012",1743.25,1736.85,1745.72,1733.94,0.31
"Dec 17, 2012",1737.78,1737.42,1741.99,1732.78,0.0
"Dec 14, 2012",1737.72,1730.05,1739.44,1728.12,0.4
"Dec 13, 2012",1730.88,1733.14,1735.39,1727.15,-0.13
"Dec 12, 2012",1733.11,1731.91,1736.22,1729.17,0.04
"Dec 11, 2012",1732.34,1731.86,1733.91,1728.7,0.0
"Dec 10, 2012",1732.27,1734.07,1735.22,1727.11,-0.18
"Dec 07, 2012",1735.41,1738.0,1740.57,1730.85,-0.22
"Dec 06, 2012",1739.29,1741.03,1748.03,1737.3,-0.15
"Dec 05, 2012",1741.94,1743.8,1746.42,1738.9,-0.2
"Dec 04, 2012",1745.37,1741.77,1748.94,1741.55,0.13
"Dec 03, 2012",1743.11,1731.7,1746.46,1731.7,0.5
"Nov 30, 2012",1734.38,1736.97,1740.52,1730.7,-0.17
"Nov 29, 2012",1737.4,1737.68,1739.79,1733.84,-0.05
"Nov 28, 2012",1738.32,1740.04,1742.0,1735.47,-0.13
"Nov 27, 2012",1740.65,1739.92,1742.95,1735.01,0.0
