Date,Open,High,Low,Close,Volume
2017-03-29,91000,91100,90100,90200,321143
2017-03-30,90400,91100,89900,90300,357843
2017-03-31,90000,91000,90000,90100,259731
2017-04-03,90100,90200,89300,89500,459034
2017-04-04,89600,91000,89300,90300,476030
2017-04-05,90700,90900,89800,90600,276686
2017-04-06,90700,90700,89800,90300,222364
2017-04-07,90700,90700,90000,90100,201088
2017-04-10,89900,90000,88600,88600,405016
2017-04-11,88800,90200,88800,89700,327970
2017-04-12,89700,90400,89500,90100,235186
2017-04-13,90400,90400,89600,89600,268366
2017-04-14,89400,90000,89000,89000,279380
2017-04-17,89600,91000,89100,91000,297165
2017-04-18,91300,92000,90600,91200,408633
2017-04-19,91800,91900,90800,91700,293492
2017-04-20,91800,91900,90900,91200,215496
2017-04-21,91300,91400,90200,90300,280786
2017-04-24,89600,89600,88700,88900,472217
2017-04-25,89200,89700,88800,88900,317547
2017-04-26,89500,89700,88600,89700,438518
2017-04-27,90000,90100,89100,89100,272424
2017-04-28,89300,89600,88700,89600,260136
2017-05-02,89500,90000,88900,89000,225811
2017-05-04,89500,90200,89100,90100,343512
2017-05-08,91600,95000,91600,94800,1203072
2017-05-10,95800,97800,95700,96500,989488
2017-05-11,96100,97700,95100,95300,738546
2017-05-12,96000,96400,94600,95500,389701
2017-05-15,95000,96300,95000,95900,291263
2017-05-16,96500,96500,94800,94900,334753
2017-05-17,95400,95600,94300,94700,258246
2017-05-18,93700,94600,93100,94000,322779
2017-05-19,94100,94900,93700,94800,225315
2017-05-22,95400,95400,93700,93900,241343
2017-05-23,94200,94300,93100,93500,285302
2017-05-24,93800,95000,93800,95000,398891
2017-05-25,95400,95400,93800,93800,321894
2017-05-26,94000,94900,93100,93800,409779
2017-05-29,94300,94500,93400,93600,327074
2017-05-30,94400,95800,94000,95800,586123
2017-05-31,95900,96700,95100,95600,628100
2017-06-01,96000,96100,94600,95000,431200
2017-06-02,96400,97000,95500,96100,476730
2017-06-05,96800,97800,96200,97800,751326
2017-06-07,98700,99500,98200,98800,903681
2017-06-08,99700,100300,99100,99700,971471
2017-06-09,100300,102500,99800,101400,1115877
2017-06-12,101000,101300,99700,100000,508209
2017-06-13,100400,100800,99400,99900,523828
2017-06-14,100800,104500,100700,102800,1008649
2017-06-15,104000,104000,101200,102600,597146
2017-06-16,102800,104300,102000,104300,627995
2017-06-19,105000,108600,104500,108500,1270529
2017-06-20,109600,115800,109400,114300,2484286
2017-06-21,114400,115800,109200,115100,1469726
2017-06-22,115700,115700,112600,113100,909694
2017-06-23,113900,115000,112800,113300,566252
2017-06-26,112800,115600,112100,114000,918685
2017-06-27,116700,119500,115000,115100,1102229
2017-06-28,114100,115600,113900,114000,457784
2017-06-29,114200,114800,112100,113100,666167
2017-06-30,113700,116200,113700,115100,828533
2017-07-03,116000,116300,114500,115500,537990
2017-07-04,115500,116000,112600,112900,539509
2017-07-05,112500,113200,109300,110700,888745
2017-07-06,111200,113600,111100,113600,499967
2017-07-07,114000,114900,113300,114000,392026
2017-07-10,114900,114900,112900,113000,296008
2017-07-11,113200,113600,111600,112500,365205
2017-07-12,112400,113400,108100,108200,896750
2017-07-13,108900,110000,105400,107400,827035
2017-07-14,107200,109300,105000,109300,674727
2017-07-17,111200,111700,110100,110700,577683
2017-07-18,110900,111600,109600,110500,417487
2017-07-19,111300,115000,110000,114700,748129
2017-07-20,116100,116900,114500,114600,1025412
2017-07-21,115100,115100,113100,114500,452747
2017-07-24,115000,115900,114100,114900,390098
2017-07-25,114800,114900,110700,111000,1147814
2017-07-26,110500,113500,108000,113500,1345957
2017-07-27,113800,114300,111400,111400,620307
2017-07-28,109700,110000,108000,108600,988312
2017-07-31,108000,110300,107400,108500,449449
2017-08-01,109500,109600,106600,106800,653354
2017-08-02,106400,106900,105400,106300,612493
2017-08-03,106000,106900,102600,102700,1067316
2017-08-04,102500,103800,101200,102600,637776
2017-08-07,103000,109900,102900,108200,1206218
2017-08-08,108500,110300,107300,109400,846670
2017-08-09,109300,110300,107900,108400,609468
2017-08-10,108000,109200,107000,107700,498400
2017-08-11,106000,106800,103400,104000,826043
2017-08-14,104500,105400,103600,104700,385640
2017-08-16,106200,108700,105300,108500,683941
2017-08-17,110000,111200,108800,110200,613900
2017-08-18,109300,110800,108800,109500,388862
2017-08-21,111000,111200,109600,110500,447710
2017-08-22,111800,117300,111300,117000,1920005
2017-08-23,118600,119200,114700,114700,1240867
2017-08-24,115000,116600,114400,114500,528723
2017-08-25,115400,115400,113800,114000,360580
2017-08-28,114300,114800,112700,114100,481856
2017-08-29,113500,116200,113200,115600,678407
2017-08-30,116400,117900,115100,115200,614879
2017-08-31,115600,116400,114700,115100,396147
2017-09-01,115700,115800,113600,114200,498191
2017-09-04,110300,113800,110200,112100,720018
2017-09-05,113600,113800,111800,112200,361552
2017-09-06,112500,115900,112100,115800,958542
2017-09-07,115700,116300,114900,116300,590067
2017-09-08,115800,116800,115000,115000,469506
2017-09-11,115100,115400,114500,114800,373689
2017-09-12,115100,116700,114900,115500,527523
2017-09-13,116300,117500,115700,116300,685072
2017-09-14,116800,120500,116500,119500,1776588
2017-09-15,119000,129800,118900,127700,3049757
2017-09-18,130700,142300,130500,138400,4023490
2017-09-19,139700,140900,136600,139500,1658659
2017-09-20,140200,149000,140100,146700,2764852
2017-09-21,149400,150500,141700,146000,2077053
2017-09-22,144500,144600,140600,143600,1719067
2017-09-25,145900,149300,144600,146900,1555688
2017-09-26,147000,147200,142500,142500,1040691
2017-09-27,143700,149600,142600,149200,1625868
2017-09-28,149700,149700,144000,144000,1351195
2017-09-29,145400,146300,137100,142000,2692200
2017-10-10,146300,148500,143700,144400,1475404
2017-10-11,144600,147700,144400,146000,887898
2017-10-12,147500,155500,145800,155200,1972627
2017-10-13,158700,179800,158300,169300,5130496
2017-10-16,173700,177600,168400,175900,2971306
2017-10-17,173900,198800,172500,191700,4993268
2017-10-18,202000,208500,191100,192100,4496639
2017-10-19,194500,194900,175200,175200,4579716
2017-10-20,173900,181100,172100,178000,2485612
2017-10-23,177300,183400,177300,178300,1386352
2017-10-24,179700,190900,179100,190900,2191965
2017-10-25,189300,189400,180600,181000,2864225
2017-10-26,181900,182400,172100,172100,2263821
2017-10-27,174200,178700,168200,175000,1977292
2017-10-30,172200,174500,167900,168100,1874224
2017-10-31,167900,173800,165700,173100,1659256
2017-11-01,173700,178000,170700,171900,1274979
2017-11-02,174000,176300,171300,172500,1070108
2017-11-03,175100,181900,173300,176100,2574222
2017-11-06,178400,178900,174200,175000,965773
2017-11-07,175100,175300,166000,166800,2577921
2017-11-08,168400,176200,167800,173100,1839630
2017-11-09,174200,174600,169000,171000,1152311
2017-11-10,170400,177500,170400,176300,1262702
2017-11-13,178700,190700,177500,190000,2963242
2017-11-14,192700,197600,186200,192900,2376123
2017-11-15,195100,208500,192700,208500,4800414
2017-11-16,212700,219900,204000,219000,3714562
2017-11-17,216700,222100,212500,218800,2699394
2017-11-20,217100,222000,215300,216700,1562410
2017-11-21,219300,228400,214900,222700,2333349
2017-11-22,223000,227800,215600,215600,2553659
2017-11-23,212700,220400,207500,220400,1660678
2017-11-24,220000,221300,214900,214900,956188
2017-11-27,210500,215800,209200,213100,1035933
2017-11-28,215300,216400,205100,205100,1044966
2017-11-29,205000,209200,202800,205100,1450320
2017-11-30,206800,208000,200100,200100,1149508
2017-12-01,201000,211600,201000,211400,1390393
2017-12-04,210300,211500,206200,209200,778101
2017-12-05,209500,209700,205200,205200,695498
2017-12-06,206400,209000,201100,201300,919919
2017-12-07,203000,204200,192700,194000,1562620
2017-12-08,193900,202300,193500,196100,1260426
2017-12-11,198500,205000,197000,205000,950807
2017-12-12,208900,209500,202700,205600,758205
2017-12-13,206200,210900,206000,210000,981710
2017-12-14,214500,215500,201100,209500,2642446
2017-12-15,208200,215000,205300,210500,1299349
2017-12-18,213000,213500,208800,208800,982271
2017-12-19,206000,208700,199700,205000,1646501
2017-12-20,203000,205300,201000,201000,877671
2017-12-21,199400,201400,197300,197300,1409897
2017-12-22,197500,202500,196800,201900,1924604
2017-12-26,204200,209200,195000,195000,4359641
2017-12-27,210000,220300,204000,220000,4011320
2017-12-28,221900,225700,218100,221100,1859347
2018-01-02,223600,227700,222200,225900,1176443
2018-01-03,228900,247200,227100,246700,2411162
2018-01-04,249600,261200,245300,250000,3265527
2018-01-05,254900,267000,254000,266900,1920918
2018-01-08,278500,303200,277200,302500,4298770
2018-01-09,304000,320000,291200,292500,5108684
2018-01-10,303300,315000,285000,296000,3487231
2018-01-11,298600,307000,293000,307000,1771655
2018-01-12,324600,374000,317500,341500,5792144
2018-01-15,343500,356100,328500,350000,3069223
2018-01-16,341000,350400,335200,347400,1649629
2018-01-17,347400,347500,312500,313500,3483413
2018-01-18,308900,323400,305600,319300,1954123
2018-01-19,320000,320800,284400,287800,3755567
2018-01-22,281000,289900,270500,280600,2778135
2018-01-23,286800,300100,283600,299000,2243840
2018-01-24,310000,312000,291300,293500,1566151
2018-01-25,291300,295000,282300,289700,1393842
2018-01-26,287000,301700,282300,300000,1586568
2018-01-29,293900,337500,293900,328300,2153908
2018-01-30,333900,339000,325200,326600,1789761
2018-01-31,317600,322100,312500,315700,1383456
2018-02-01,314800,318300,297300,299800,1909895
2018-02-02,300300,306400,290000,301400,1647660
2018-02-05,293400,299900,286000,286000,1378628
2018-02-06,276200,291200,272200,284200,2596342
2018-02-07,291300,292000,256000,256000,3326704
2018-02-08,251300,273000,238500,271400,7760386
2018-02-09,259000,293000,257500,288000,2965646
2018-02-12,295500,311500,295000,302500,2112316
2018-02-13,306000,308000,294000,294000,1199337
2018-02-14,299000,313500,296500,312500,1715961
2018-02-19,326000,326000,311500,316500,1345272
2018-02-20,313500,319000,301000,304000,1087076
2018-02-21,304000,311500,302000,307500,725161
2018-02-22,305000,313500,301000,307500,738229
2018-02-23,309000,322500,307000,318000,976514
2018-02-26,321000,328000,320500,326500,827134
2018-02-27,334000,354500,330500,351000,2097880
2018-02-28,342500,364500,342000,353000,2414626
2018-03-02,353000,372000,351000,372000,1964092
2018-03-05,386500,392000,357000,373500,3136351
2018-03-06,376000,381500,358500,370000,2019719
2018-03-07,347000,351500,324500,325000,7588080
2018-03-08,331000,354000,330500,354000,7741422
2018-03-09,345500,355000,323000,326000,3558669
2018-03-12,324000,333500,313500,322000,2575956
2018-03-13,321000,321000,305000,311000,2979719
2018-03-14,306500,316000,303500,306500,1904376
2018-03-15,313000,327500,310500,322500,2002241
2018-03-16,325000,332500,321000,324000,1357702
2018-03-19,327000,329500,317500,319000,846578
2018-03-20,316000,325000,312500,322500,1160725
2018-03-21,323000,324500,311000,311500,1229495
2018-03-22,312000,319000,305000,310500,1177144
2018-03-23,302500,312500,298000,300000,1483144
2018-03-26,301000,305000,294000,300000,1337035
2018-03-27,307000,308500,297000,297000,1135219
2018-03-28,292000,294000,280500,289500,2566693
2018-03-29,297000,318000,295000,317000,1955696
2018-03-30,319500,321500,309000,309500,1206106
2018-04-02,310500,316000,304000,304000,702993
2018-04-03,299500,304500,297000,299000,870110
2018-04-04,303500,306000,291500,294000,1191952
2018-04-05,291500,307000,283500,295000,1797274
2018-04-06,296000,300500,291500,292000,660697
2018-04-09,298500,310000,293000,306000,1134927
2018-04-10,309500,311500,301000,303000,867964
2018-04-11,306000,308000,298000,298000,681690
2018-04-12,299000,303000,293000,298500,1030225
